Filename,x,y,w,h,W,H
75b9a4616c2a5ade5ac6e3e8c5522378.jpg,273.0,141.0,28.0,32.0,786.0,512.0
d1d9503d2c563785ea0dfdc74fd2f241.jpg,384.0,121.0,33.0,39.0,683.0,512.0
f5a3deed62f3d78ddbca70c34716bf6d.jpg,462.0,448.0,24.0,31.0,769.0,512.0
0e0f9d46d08be296fc0e447e7a7c5a24.jpg,119.0,105.0,23.0,31.0,683.0,512.0
dc865ff12e9be7c60e66621c0a4103e9.jpg,577.0,377.0,19.0,24.0,683.0,512.0
a3714b5535f842e95914e9c5bf4d72ad.jpg,531.0,156.0,21.0,28.0,772.0,512.0
c3a69b71905d5aba8196385e9c0acb3a.jpg,52.0,95.0,19.0,22.0,768.0,512.0
a8e1c0006d2b5c31ba0e781e53420a99.jpg,501.0,91.0,22.0,26.0,640.0,480.0
304d3aea8b87429fb1e9f02b862c9518.jpg,347.0,85.0,17.0,25.0,512.0,683.0
7e72b7699d7e4afb85fcfd79fcd624fe.jpg,397.0,337.0,22.0,26.0,731.0,512.0
90c29d60487ae67cfab7430ca70203e1.jpg,230.0,333.0,17.0,23.0,683.0,512.0
621a2058a053c44119cd136f848d5510.jpg,612.0,362.0,23.0,28.0,726.0,512.0
0fd304c4fa11b868845b70692dd1c495.jpg,641.0,141.0,23.0,35.0,683.0,512.0
d9e5971c59ff048f8c6d1f49837c9377.jpg,206.0,456.0,35.0,38.0,512.0,768.0
e702d30d619ba0aa56875e6b05ad817e.jpg,15.0,435.0,15.0,20.0,480.0,640.0
dd2dcfeac85d17d3a81f13514a3f9b6b.jpg,872.0,91.0,29.0,39.0,998.0,499.0
98817dafbef9095702e6a1799169d156.jpg,256.0,206.0,23.0,30.0,774.0,512.0
df7df91551c2d53f8f81b6c0ce048cd8.jpg,521.0,115.0,22.0,27.0,683.0,512.0
59832f9329390adb1eee7e8151d10a6d.jpg,257.0,226.0,33.0,46.0,480.0,640.0
598c1d82b8066e4d5636208430c7b474.jpg,419.0,521.0,22.0,29.0,512.0,683.0
7bfc7564488693f5d55cefabbf16906c.jpg,347.0,75.0,33.0,39.0,713.0,512.0
a34e7c03094184dc2de1260e7dcfa9ae.jpg,495.0,280.0,19.0,21.0,803.0,512.0
c8d6ebdb466d4d150a2365bbd15bd253.jpg,126.0,215.0,18.0,22.0,683.0,512.0
2aff2d07ff1eb3bacdc32d81d98ebe93.jpg,630.0,104.0,22.0,27.0,683.0,512.0
e55d488c732d2ece97172ab0e4b5e13f.jpg,716.0,194.0,34.0,49.0,768.0,512.0
9073336086d2c600ed4f90233ab461d4.jpg,23.0,379.0,32.0,42.0,683.0,512.0
6936e980890a43c52ec47683ce77a443.jpg,422.0,92.0,27.0,37.0,683.0,512.0
adc6bbeeee03d0f57dc9303ab773629d.jpg,647.0,31.0,18.0,22.0,718.0,512.0
a1ae83e8825b3e50831ae12d4e7b5223.jpg,63.0,117.0,24.0,29.0,758.0,512.0
d822d6c54cb5c9d6f934977b76cc8a15.jpg,269.0,182.0,19.0,22.0,683.0,512.0
666b994ff178a47154d707ad3ae26b21.jpg,613.0,122.0,33.0,39.0,765.0,512.0
2363883aef4f45105c5655fda07cfe80.jpg,548.0,285.0,17.0,23.0,699.0,512.0
252fe7cbcc009cf10305763e24d4cbc2.jpg,209.0,191.0,25.0,33.0,512.0,631.0
10437efcec3ca27c50a6618e49eb4839.jpg,609.0,212.0,29.0,36.0,683.0,512.0
c4332e0363f081abec19e3afeb817f4c.jpg,227.0,502.0,21.0,27.0,512.0,768.0
86d4c63b9176b087b56b23a0e07b062f.jpg,264.0,450.0,26.0,34.0,683.0,512.0
ad8a214a536a038f6f2fcf141d2be6b3.jpg,466.0,186.0,24.0,29.0,683.0,512.0
4065c6e868f26730c0fcc196e4b4e3cf.jpg,335.0,339.0,17.0,24.0,766.0,512.0
